Latitude,Longitude,Kullanici
37.5752755,36.9228223,MuratcanUlu24
38.720489,35.48259700000001,ESENGUL_TNK
37.384751,36.846238,ercanyl08740970
37.5752755,36.9228223,ercan_cabbar
41.1193813,29.0089668,kamil_ulucay
36.2243824,36.1355295,iyidebenkimimki
37.5124856,34.0504812,nero_corallo
38.243802,36.914722,Nimetiikrkccc
36.4294801,36.2576611,MeLEnGka
41.0606798,28.9943102,yalnizgibiyim_
40.9719767,29.1522123,melisaoztekn
38.720489,35.48259700000001,ESENGUL_TNK
36.2042794,36.1618938,mertyil66402373
37.7654381,38.2717454,NDegernevos
36.5877144,36.1753594,_suberin_
37.0746279,36.2464002,denizduumann
38.720489,35.48259700000001,ESENGUL_TNK
41.1193813,29.0089668,nihan_yildiz
37.575169,36.93297,nihan_yildiz
37.5752755,36.9228223,nihan_yildiz
36.4294801,36.2576611,MeLEnGka
36.5316473,36.3647692,uAUNIKarabuk
37.5124856,34.0504812,BitcoiNederland
36.9820276,37.3052262,cano7755
36.2243824,36.1355295,iyidebenkimimki
37.7761026,38.28801259999999,Petekkkl
38.720489,35.48259700000001,ESENGUL_TNK
37.7761026,38.28801259999999,Petekkkl
37.5755057,36.9442194,PnarGirgin3
37.5833891,36.910334,AykutParlak15
37.5752755,36.9228223,AykutParlak15
37.0550295,36.3064595,mrvymrk
38.093415,37.878116,feritsertkaya
36.1643075,36.11108,ufukcizgisii
36.4294801,36.2576611,MeLEnGka
41.1193813,29.0089668,erbenerenn
38.0195313,36.48604,gamzeglasarolu
38.720489,35.48259700000001,ESENGUL_TNK
36.2042794,36.1618938,ercan_cabbar
36.9820276,37.3052262,ATAISIK_
38.0195313,36.48604,gamzeglasarolu
38.0195313,36.48604,gamzeglasarolu
37.5755057,36.9442194,PnarGirgin3
37.7236,37.5563,yeniversiyonn
38.1827273,37.2188044,yaseminbalkiz
41.1193813,29.0089668,nihan_yildiz
37.575169,36.93297,nihan_yildiz
37.5752755,36.9228223,nihan_yildiz
38.0195313,36.48604,gamzeglasarolu
36.2243824,36.1355295,madebycandyyy
36.2243824,36.1355295,k_kecas
37.5752755,36.9228223,ercan_cabbar
41.0179982,28.6746046,al1endspair
38.1436236,37.1580176,ebzbr
36.4923177,36.3518412,mrvk08
39.9895725,33.2549406,mrvk08
36.2042794,36.1618938,aligokhan007
37.5124856,34.0504812,BitcoiNederland
36.560109,36.380247,erhz4_4
37.5752755,36.9228223,MuratcanUlu24
37.5786377,36.928578,uAUNIDuzce_
36.3707009,36.22525,ufukcizgisii
36.4294801,36.2576611,MeLEnGka
38.2089762,37.1518236,mezbele20151
37.5752755,36.9228223,MuratcanUlu24
41.0606798,28.9943102,uAUNIBursaTek
37.5752755,36.9228223,MuratcanUlu24
36.2042794,36.1618938,cupidonunanasii
37.5755057,36.9442194,PnarGirgin3
36.0845187,35.9889941,ozguradamm1
37.5752755,36.9228223,manyakmurekkep
39.92203689999999,32.8514606,ahbebeyzz
36.2042794,36.1618938,aleynalataa
40.7654408,29.9408089,ZehraAnaDernegi
37.5124856,34.0504812,BitcoiNederland
37.850055,40.668688,bismil_ajanss
36.2042794,36.1618938,mertyil66402373
37.76365,38.2772592,e_yapk
37.9249733,40.2109826,HanedanOrganiza
36.2033289,36.148205,loveyanimalss
37.575169,36.93297,godsavageit
37.5752755,36.9228223,godsavageit
36.2356291,36.1663158,seelimoji
36.1877409,36.1558982,sananeolumms1
38.582605,34.721254,AKKUSsarigerme
37.575169,36.93297,12Fenermans
37.5752755,36.9228223,12Fenermans
36.2042794,36.1618938,aliaqqha
36.2012131,36.1273805,cicoleey
36.1353376,36.1401185,OmerFTci
37.5786151,36.9238744,esenalaaddin1
36.1837802,36.1241276,Bilinme54979184
36.21957,36.1574033,EmirhanKARAAS16
37.7455336,38.2981257,tubiiugurr
36.1877409,36.1558982,uzulelimm
36.5017551,36.3701217,agubatlardan
36.4294801,36.2576611,MeLEnGka
37.4616034,36.9932896,nursdegilnors
37.76365,38.2772592,erbakancayazan
41.1193813,29.0089668,nihan_yildiz
37.575169,36.93297,nihan_yildiz
37.5752755,36.9228223,nihan_yildiz
37.783409,37.641858,ikardiyolog
37.754819,38.2569084,DrBurakEkinci
37.5752755,36.9228223,ercan_cabbar
37.7588246,38.2672669,Newnevbahara
41.1193813,29.0089668,kamil_ulucay
36.4294801,36.2576611,MeLEnGka
37.9600935,36.7819505,havva914
38.086984,38.332287,Gizemkcmz_
38.1271756,36.5229641,egl1905
36.2383764,36.2151619,dilaraisteee
36.2042794,36.1618938,ercan_cabbar
37.5124856,34.0504812,MehmettMazlum
36.2243824,36.1355295,iyidebenkimimki
41.983884,8.796828,menekse_ylcnky
36.2371396,36.1599713,ALKAAN21
38.1271756,36.5229641,egl1905
